2012-08-03 07:07:22 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:07:43 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:08:22 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:09:28 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:10:39 Notice: Notice (8): Undefined index:  opcionId in [/var/www/html/italica/app/controllers/unidads_controller.php, line 22]
2012-08-03 07:10:49 Debug: Unidad 1 almacenada en, Unidads por->super               
2012-08-03 08:37:27 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:37:29 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:41:50 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:41:52 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:46:43 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:48:41 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:52:53 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:53:28 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:56:17 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 08:57:35 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 09:02:04 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 09:02:04 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 09:02:04 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 09:02:13 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 09:02:13 Debug: Ingreso, Usuario->super               
2012-08-03 09:06:22 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 09:06:23 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 09:30:05 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 09:30:05 Debug: Ingreso, Usuario->super               
2012-08-03 09:30:11 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 09:30:13 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:36:16 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 23:36:16 Debug: Ingreso, Usuario->super               
2012-08-03 23:36:22 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:36:25 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:36:30 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:36:39 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 23:36:42 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 23:37:00 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:38:08 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-03 23:38:08 Debug: Salida->Cierre de sesion, Usuario->
2012-08-03 23:38:08 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-03 23:38:18 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 23:38:18 Debug: Ingreso, Usuario->super               
2012-08-03 23:38:23 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:38:24 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:38:30 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:38:31 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:43:04 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:43:50 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 23:43:50 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 23:44:10 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 37]
2012-08-03 23:44:10 Debug: Datos almacenados en la tabla Rols, Usuario->
2012-08-03 23:44:11 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 23:44:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-03 23:44:15 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1001 usuario->
2012-08-03 23:44:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-03 23:44:15 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1004 usuario->
2012-08-03 23:44:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-03 23:44:15 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1005 usuario->
2012-08-03 23:44:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 148]
2012-08-03 23:44:15 Debug: Quitar opciones a rol->id_rol->1 id_op-> usuario->
2012-08-03 23:44:20 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:45:03 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 104]
2012-08-03 23:45:03 Debug: no se pudo almacenar los datos en la tabla Usuarios, Usuario->
2012-08-03 23:45:57 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:46:55 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:46:56 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:48:34 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-03 23:48:34 Debug: Ingreso, Usuario->super               
2012-08-03 23:48:47 Notice: Notice (8): Undefined variable: info in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 116]
2012-08-03 23:49:06 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 99]
2012-08-03 23:49:06 Debug: Datos almacenados en la tabla Personas-Usuarios, Usuario->
2012-08-03 23:50:05 Debug: Datos almacenados en la tabla Personas-Usuarios, Usuario->super               
2012-08-03 23:51:31 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:51:32 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:51:34 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:52:26 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-03 23:52:27 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 23:52:56 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 37]
2012-08-03 23:52:56 Debug: Datos almacenados en la tabla Rols, Usuario->
2012-08-03 23:52:56 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-03 23:53:56 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-03 23:54:07 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-03 23:54:08 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:06:36 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:06:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:06:38 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:06:40 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:09:44 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-04 00:09:44 Debug: Salida->Cierre de sesion, Usuario->
2012-08-04 00:09:44 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-04 00:11:17 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-04 00:11:17 Debug: Ingreso, Usuario->super               
2012-08-04 00:11:23 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:11:24 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:11:25 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:11:26 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:11:39 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:11:40 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:18:22 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-04 00:18:22 Debug: Salida->Cierre de sesion, Usuario->
2012-08-04 00:18:22 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-04 00:18:35 Debug: Datos almacenados en la tabla Ingreso, Usuario->super               
2012-08-04 00:18:35 Debug: Ingreso, Usuario->super               
2012-08-04 00:20:15 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 103]
2012-08-04 00:20:15 Debug: Salida->Cierre de sesion, Usuario->
2012-08-04 00:20:15 Notice: Notice (8): Undefined index:  ingreso_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 104]
2012-08-04 00:20:42 Debug: Datos almacenados en la tabla Ingreso, Usuario->admin               
2012-08-04 00:20:42 Debug: Ingreso, Usuario->admin               
2012-08-04 00:20:47 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:20:49 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:20:58 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/usuarios_controller.php, line 21]
2012-08-04 00:22:48 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:42 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:43 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:24:45 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:24:46 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:25:17 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:25:18 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:25:19 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:25:20 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:42:04 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:42:05 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:46:02 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/rols_controller.php, line 18]
2012-08-04 00:46:03 Notice: Notice (8): Undefined index:  query in [/var/www/html/italica/app/controllers/rols_controller.php, line 91]
2012-08-04 00:49:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:49:31 Debug: opcion 1006 almacenada en, Opciones por->
2012-08-04 00:53:12 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:53:12 Debug: opcion 1007 almacenada en, Opciones por->
2012-08-04 00:53:44 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:53:45 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:57:40 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 00:57:40 Debug: opcion 1008 almacenada en, Opciones por->
2012-08-04 00:58:36 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 00:58:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 01:07:22 Notice: Notice (8): Undefined offset:  1009 in [/var/www/html/italica/app/controllers/opciones_controller.php, line 80]
2012-08-04 01:08:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 01:08:31 Debug: opcion 1009 almacenada en, Opciones por->
2012-08-04 01:08:35 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 01:08:36 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1001 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1005 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1006 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1007 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1008 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:02 Debug: Añadir opciones a rol->id_rol->1 opcion_id->1009 usuario->
2012-08-04 02:16:02 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 148]
2012-08-04 02:16:02 Debug: Quitar opciones a rol->id_rol->1 id_op-> usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1001 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1006 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1007 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1008 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 131]
2012-08-04 02:16:23 Debug: Añadir opciones a rol->id_rol->2 opcion_id->1009 usuario->
2012-08-04 02:16:23 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/rols_controller.php, line 148]
2012-08-04 02:16:23 Debug: Quitar opciones a rol->id_rol->2 id_op-> usuario->
2012-08-04 02:17:34 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:46 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 02:18:46 Debug: opcion 1010 almacenada en, Opciones por->
2012-08-04 02:18:55 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:56 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:18:59 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:19:31 Notice: Notice (8): Undefined index:  login in [/var/www/html/italica/app/controllers/opciones_controller.php, line 176]
2012-08-04 02:19:31 Debug: opcion 1011 almacenada en, Opciones por->
2012-08-04 02:19:37 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
2012-08-04 02:19:38 Notice: Notice (8): Undefined index:  rol_id in [/var/www/html/italica/app/controllers/sistemas_controller.php, line 141]
